# 코스 메타데이터 수기 보정 레이어
#
# build-data.mjs 는 GPX <trk><name> 에서 자동 추출한 값을 이 파일로 "덮어쓴다".
# 따라서 재빌드해도 여기 적은 값이 유지된다. 빈 칸은 덮어쓰지 않는다(자동값 유지).
#
# '#' 로 시작하는 줄과 빈 줄은 무시된다.
#
# 자동 추출 현황: 90개 본 코스 중 75개가 `###-시작~종료` 형식으로 파싱됨.
#                연쇄 보정(앞 코스 종점 = 다음 코스 시점)으로 4개 추가 확보.
#                아래는 그래도 비어 있던 항목 중 근거가 확인된 것만 채웠다.
#
# ── 채운 근거 ──
# region 부산      : 좌표가 부산 범위. gpsroute.site 도 1~5코스를 부산광역시로 표기.
# region 남해군    : 36~46코스 좌표가 전부 남해도·창선도 범위(34.71~34.95N, 127.81~128.07E).
#                    이름에 병기된 '남해바래길'은 남해군의 트레일이다.
# 90코스 end       : GPX 이름에 '해남군 송지면 송호리 땅끝탑[서해안길 시작]' 이라고 명시돼 있고,
#                    실제 종료 좌표가 땅끝탑에서 604m 이내다.
# 62/63 접합부     : 원본에 '부용교'(62코스)와 '부굥교'(63코스) 두 표기가 있다. '부굥교'는 오타다.
#                    접합부 자동 통일은 더 긴 쪽을 고르는데, 하필 오타난 쪽이 '회정리'를 포함해
#                    더 길었다. 여기서 바로잡는다.
#
# ── 의도적으로 비워둔 것 ──
# 1코스 start      : GPX 이름에 지점명이 없다. 통상 '오륙도해맞이공원'으로 알려져 있으나
#                    내가 확인할 수 있는 근거가 없어 추측으로 채우지 않았다. 직접 채워도 된다.
# 2,3코스, 37~45코스 start/end : 지점명 정보가 원본에 아예 없다.
#                    연속 공백 구간의 내부라 연쇄 보정으로도 메울 수 없다.
#                    비워두면 앱에 '지점명 없음'으로 표시된다.
#
# ── 열 설명 ──
# id            코스 번호 (17-1 처럼 임시노선도 가능)
# name          코스 이름 (비우면 "17코스")
# region        시·군 (사이드바 목록과 지역 그룹에 쓰인다)
# start / end   시점 · 종점 지점명
# startAddr     시점 주소        endAddr      종점 주소
# startAccess   시점 교통편      endAccess    종점 교통편
# difficulty    비우면 자동 계산 (거리 + 상승/100)
# alias         병기 명칭 (예: 남해바래길 03코스 동대만길)
# note          기타 메모
#
# ── 두 가지만 기억하면 된다 ──
# 1) 값에 콤마가 있으면 반드시 "..." 로 감싼다.
#    교통편이 대표적이다:  "경성대부경대역 24번 버스, 오륙도스카이워크 하차"
#    감싸지 않으면 콤마 뒤가 조용히 잘린다.
# 2) 접합부는 한 번만 적으면 된다.
#    1코스 end 에 "부산역" 을 적으면 2코스 start 는 자동으로 채워진다
#    (주소·교통편도 같이 따라간다). 89개 접합부를 두 번 적을 필요가 없다.
#
id,name,region,start,end,startAddr,startAccess,endAddr,endAccess,difficulty,alias,note
13,,경남 고성군,회화면 배둔시외버스터미널,광도면 황리사거리,,"고성여객자동차터미널에서 고성-배둔, 고성-금곡, 고성-구만 이용 후 배둔시외버스터미널 하차",,"통영종합버스터미널 663번 버스, 임외사거리 하차",,,
14,,경남 통영시,광도면 황리사거리,용남면 장운리 충무도서관,통영시 광도면 안정로 921,"통영종합버스터미널에서 139, 436, 536, 537, 663번 버스 이용 임외사거리 하차",통영시 용남면 장문리 산 263-2,"통영종합버스터미널 640번 버스, 통영시립충무도서관 하차",,,
15,,경남 통영시,용남면 장우리 충무도서관,사등면사무소,통영시 용남면 장문리 산 263-2,"통영종합버스터미널 640번 버스, 통영시립충무도서관 하차",거제시 사등면 성포로 110,"고현버스터미널 43번 버스, 사등면사무소 하차",,,
16,,경남 거제시,사등면사무소,고현버스터미널,거제시 사등면 성포로 110,"고현버스터미널 43번 버스, 사등면사무소 하차",거제시 고현천로 10,거제 고현버스터미널 이용,,,
17,,경남 거제시,고현버스터미널,장목면 장목파출소,거제시 고현천로 10,고현버스터미널 도보 이동,거제시 장목면 거제북로 1212,"고현버스터미널 31번 버스, 장목파출소 하차",,,
18,,경남 거제시,장목면 장목파출소,장목면 김영삼대통령기록전시관,거제시 장목면 거제북로 1212,"고현버스터미널 31번 버스, 장목파출소 하차",거제시 장목면 옥포대첩로 743,"고현버스터미널 32번 버스, 대계마을 하차",,,
19,,경남 거제시,장목면 김영삼대통령기록전시관,장승포시외버스터미널,거제시 장목면 옥포대첩로 743,"고현버스터미널 32번 버스, 대계마을 하차",거제시 능포로 126,"고현버스터미널 11번 버스, 옥수동 하차",,,
20,,경남 거제시,장승포 시외버스터미널,일운면 거제어촌민속전시관,거제시 능포로 126,"고현버스터미널 11번 버스, 옥수동 하차",거제시 일운면 지세포해안로 42,"고현버스터미널 23번 버스, 일운농협 하차",,,
21,,경남 거제시,일운면 거제어촌민속전시관,일운면 구조라유람선터미널,경남 거제시 일운면 지세포해안로 41,"장승포시외버스터미널에서 62, 64, 64-1번 버스 이용 후 신촌 하차",경남 거제시 일운면 구조라로 37,"삼정경로당 정류장에서 61, 64, 64-1번 버스 이용 후 옥수동(장승포시외버스터미널) 하차. 또는 수정 정류장에서 22, 23, 4000번 버스 이용 후 고현버스터미널 하차",,,
22,,경남 거제시,일운면 구조라유람선터미널,동부면 학동리 학동고개,경남 거제시 일운면 구조라로 37,"장승포시외버스터미널에서 61, 64, 64-1번 버스 이용 후  삼정경로당 정류소 하차. 또는 고현버스터미널에서 22, 23, 4000번 버스 이용 후 수정 정류장 하차",경남 거제시 동부면 학동리 산 47-10,"거제자연휴양림 정류장에서 55, 56, 67번 버스 이용 후 고현버스터미널 하차",,,
23,,경남 거제시,동부면 학동리 학동고개,거제시 남부면 명사해변,경남 거제시 동부면 학동리 산 47-10,"고현버스터미널에서 55, 56번 버스 이용 후 거제자연휴양림 정류장 하차",,,,,공식 코스 경계와 다름 (종점 617m) — 지점명은 GPX 기준 유지
24,,경남 거제시,거제시 남부면 명사해변,남부면 탑포리 탑포마을,,,경남 거제시 남부면 탑포리 477-5,"탑포마을 정류장 52, 53-1번 버스 이용 후 고현버스터미널 하차",,,공식 코스 경계와 다름 (시점 616m) — 지점명은 GPX 기준 유지
25,,경남 거제시,남부면 탑포리 탑포마을,거제면 거제파출소,경남 거제시 남부면 탑포리 477-5,"고현버스터미널에서 52, 53, 54-1, 55-1번 이용 후 탑포삼거리 정류장 하차",경남 거제시 거제면 거제남서로 3431,"제일중학교 정류장 50, 52, 54, 56번 버스 이용 후 고현버스터미널 하차",,,
26,,경남 거제시,거제면 거제파출소,둔덕면 밤하리 청마기념관,경남 거제시 거제면 거제남서로 3431,"고현버스터미널에서 50, 51, 52, 56, 57, 54-1번 버스 이용하여 제일중학교 정류장 하차",경남 거제시 둔덕면 방하2길 6,방하삼거리 정류장 41번 버스 이용,,,
27,,경남 거제시,둔덕면 방하리 청마기념관,용남면 장평리 신촌마을,경남 거제시 둔덕면 방하2길 6,고현버스터미널에서 41번 이용하여 방하삼거리 정류장 하차,경남 통영시 용남면 장평리 235-1,"신촌마을 정류장 650, 906, 910, 953번 버스 이용 후 시외버스터미널(통영) 하차",,,
28,,경남 통영시,용남면 장평리 신촌마을,동호동 남망산조각공원입구,경남 통영시 용남면 장평리 235-1,"통영종합버스터미널 752번 버스, 신촌마을 하차",경남 통영시 동호동 249-1,"남망산조각공원입구 정류장에서 752, 610버스 다수 이용 후 통영시외버스터미널 하차",,,
29,,경남 통영시,동호동 남망산조각공원입구,무전동 해변공원,경남 통영시 동호동 249-1,"통영종합버스터미널에서 321, 420, 121, 610, 613, 211번 등 다수 버스 이용하여 남만산공원입구 정류장 하차",경남 통영시 무전동 1013,"한진로즈힐 정류장 401, 341, 530, 500, 104, 501, 534, 535, 105, 301버스 등 다수 이용 후 시외버스터미널(통영) 하차",,,
30,,경남 통영시,무전동 해변공원,도산면 원산리 바다휴게소,경남 통영시 무전동 1013,"통영종합버스터미널에서 504, 676, 121,231, 321, 420, 522, 521번 등 다수 버스 이용하여 새통영병원 하차",경남 통영시 도산면 남해안대로 2125,"평촌창동마을 정류장에서 고성-원산 버스 이용 후 고성여객자동차터미널 하차. 또는 원산종점 정류장에서 676, 678, 676 버스 후 통영종합버스터미널 하차. 이용시 배차시간 확인 필수",,,
31,,경남 고성군,도산면 원산리 바다휴게소,상리면 부포리 부포사거리,경남 통영시 도산면 남해안대로 2125,통영종합버스터미널 678번 평촌마을 하차,경남 고성군 상리면 장치로 382-6,"내부포 정류장 고성-고봉, 고성-봉발, 고성-상리, 고성- 하이 등 버스 다수 이용하여 고성여객자동차터미널 하차",,,
32,,경남 고성군,상리면 부포리 부포사거리,하일면 학림리 임포항,경남 고성군 상리면 장치로 382-6,"고성여객자동차터미널에서 고성-상리, 고성-하이, 고성-봉발 시내버스 이용하여 내부포 정류장 하차",경남 고성군 하일면 학림리 1518,임포 정류장에서 고성-하이 버스 이용 후 고성여객자동차터미널 하차,,,
33,,경남 고성군,하일면 학림리 임포항,하이면 덕호리 하이면사무소,경남 고성군 하일면 학림리 1518,고성여객자동차터미널에서 고성-하이 버스 이용하여 임포 정류장 하차,경남 고성군 하이면 공룡로 1,신덕마을 정류장 10번 버스 이용 후 삼천포시외버스터미널 하차,,,
34,,경남 사천시,하이면 덕호리 하이면사무소,대방동 삼천포대교 사거리,경남 고성군 하이면 공룡로 1,삼천포시외버스터미널에서 10번 버스 이용 후 신덕마을 정류장 하차. 배차간격 확인,경남 사천시 대방동 369,"삼천포시외버스터미널 104, 105, 105-1, 106, 194번 버스 이용, 새마을금고/대방사거리 정류장 하차",,,
35,,경남 사천시,대방동 삼천포대교 사거리,대방동 대방교차로,경남 사천시 대방동 369,"삼천포시외버스터미널 104, 105, 105-1, 106, 194번 버스 이용, 새마을금고/대방사거리 정류장 하차",경남 사천시 대방동 717-2,"삼천포시외버스터미널 104, 105, 105-1번 버스 이용, 삼천포대교공원 정류장 하차",,,
36,,경남 남해군,대방동 대방교차로,창선면 상죽리 창선파출소,경남 사천시 대방동 717-2,"삼천포시외버스터미널 104, 105, 105-1번 버스 이용, 삼천포대교공원 정류장 하차",경남 남해군 창선면 창선로 99,삼동면사무소 앞 정류장에서 남해공용터미널방향 버스 이용,,,
37,,경남 남해군,창선면 상죽리 창선파출소,창선면 진동리 적량버스정류장,경남 남해군 창선면 창선로 99,"남해시외버스터미널에서 시내버스 남해-단항, 남해-연곡 이용하여 수산리 앞 정류장 하차",경남 남해군 창선면 흥선로 1215,적량 정류장 장포-남해 시내버스 이용하여 남해공용터미널 하차,,,
38,,경남 남해군,참선면 진동리 적량버스정류장,삼동면 지족리 하나로마트,경남 남해군 창선면 흥선로 1215,"남해공용터미널에서 남해-단항, 수산-장포- 장포-남해 버스 환승 이용",경남 남해군 삼동면 동부대로 1875,"지족 정류장에서 설리-남해, 부윤-남해, 연곡-남해 등 버스 이용하여 남해공용터미널 하차",,,
39,,경남 남해군,삼동면 지족리 하나로마트,삼동면 물건리 물건마을,경남 남해군 삼동면 동부대로 1875,"남해시외버스터미널에서 남해-미조, 남해-단항, 남해-가인 버스 이용하여 삼동면사무소(지족) 정류장 하차",경남 남해군 삼동면 동부대로1030번안길 49-10,"물건마을 정류장에서 미조-남해, 설리-남해, 은점-남해 버스 이용하여 남해공용터미널 하차",,,
40,,경남 남해군,삼동면 물건리 물건마을,미조면 송정리 천하몽돌해변 입구,경남 남해군 삼동면 동부대로1030번안길 49-10,"남해시외버스터미널에서 시내버스 남해-미조, 남해-설리, 은점-남해 이용하여 물건마을 정류장 하차",경남 남해군 미조면 송정리 1396-5,천하 정류장에서 시내버스 남해-미조 이용하여 남해시외버스터미널 하차,,,
41,,경남 남해군,미조면 송정리 천하몽돌해변 입구,이동면 신전리 남해바래길탐방안내센터,경남 남해군 미조면 송정리 1396-5,남해시외버스터미널에서 시내버스 남해-미조 이용 후 천하 정류장 하차,경남 남해군 이동면 성남로 99,"남해시외버스터미널에서 남해~가천 버스, 신전 하차 후 도보 15분",,,공식 코스 경계와 다름 (종점 1811m) — 지점명은 GPX 기준 유지 / 대체값 없어 공식값 사용
42,,경남 남해군,이동면 남해바래길탐방안내센터,남면 홍현리 다랭이마을,경남 남해군 이동면 성남로 99,"남해버스터미널 남해~가천 버스, 신전 하차 후 도보 15분",경남 남해군 남면 남면로 702,가천 정류장에서 시내버스 남해-가천 이용하여 남해시외버스터미널 하차,,,공식 코스 경계와 다름 (시점 1735m) — 지점명은 GPX 기준 유지 / 대체값 없어 공식값 사용
43,,경남 남해군,남면 홍현리 다랭이마을,남면 평산리 평산항,경남 남해군 남면 남면로 702,남해시외버스터미널에서 시내버스 남해-가천 이용 후 가천다랭이마을 정류장 하차. 배차간격 유의,경남 남해군 남면 남면로 1739번길 43-2,평산2리 정류장에서 남해-가천 시내버스 이용하여 남해시외버스터미널 하차. 배차간격 유의,,,
44,,경남 남해군,남면 평산리 평산항(경남 남해군 남면 남면로 1739번길 43-2,서면 서상리 서상여객선터미널,,남해시외버스터미널에서 시내버스 남해-가천 이용 후 평산2리 정류장 하차. 배차간격 유의,경남 남해군 서면 남서대로168번길 28-4,서상마을 앞 정류장에서 남해-가천 버스 이용하여 남해시외버스터미널 하차. 배차간격 유의,,,
45,,경남 남해군,서면 서상리 서상여객선터미널,서면 중현리 새남해농협중현지소,경남 남해군 서면 남서대로1687번길 28-4,"남해시외버스터미널에서 시내버스 남해-대곡, 남해-남면 이용 후 서상마을 앞 정류장 하차. 배차간격 유의",경남 남해군 서면 남서대로 2618,"회룡 정류장에서 남해-우물, 남해-대곡(회룡), 남해-서상 버스 이용하여 남해시외버스터미널 하차. 배차간격 유의",,,
46,,경남 남해군,서면 중현리 새남해농협중현지소,구 노량공영주차장 해안길 데크 입구,경남 남해군 서면 남서대로 2618,"남해시외버스터미널에서 시내버스 남해-서상, 남해-대곡, 남해-우물, 남해-중현 이용 후 회룡 정류장 하차",금남면 노량리 산99-2번지,"구노량 정류장에서 하동-진교, 진교-하동 버스 이용하여 하동시외버스터미널 하차",,,
47,,경남 하동군,구 노량공영주차장 해안길 데크 입구,하동읍 광평리 섬진교 동단,금남면 노량리 산99-2번지,하동시외버스터미널에서 시내버스 하동-진교 이용 후 구노량 정류장 하차. 배차간격 유의,경남 하동군 하동읍 광평리 439-2,하동시외버스터미널 또는 하동역 도보 이동 가능. 또는 하동고등학교 정류장에서 18번 버스 이용,,,
48,,전남 광양시,하동읍 광평리 섬진교 동단,진월면 선소리 진월초등학교,경남 하동군 하동읍 광평리 439-2,"하동시외버스터미널 시내버스 18, 35-1번 버스 이용 후 하동고등학교 정류장 하차. 또는 도보 이동 가능",전남 광양시 진월면 선소중앙길 69,진월초교정류장에서 54번 버스 이용하여 하동시외버스터미널 하차,,,
49,,전남 광양시,진월면 선소리 진월초등학교,중동 중동근린공원,전남 광양시 진월면 선소중앙길 69,"하동시외버스터미널 54번 버스, 진원남초교 하차",전남 광양시 광장로 94,"중마버스터미널 도보 이동 가능. 또는 홈플러스 정류장에서 9, 88, 1001번 버스 등 이용",,,
50,,전남 광양시,중동 중동근린공원,광양읍 인동리 광양터미널,전남 광양시 광장로 94,"광양중마버스터미널에서 87, 88번 버스 이용 후 성호3차 정류장 하차. 또는 도보 이동 가능.",전남 광양시 광양읍 순광로 692,광양공영버스터미널에서 버스 이용,,,
51,,전남 광양시,광양읍 인동리 광양터미널,율촌면 조화리 율촌파출소,전남 광양시 광양읍 순광로 692,광양공영버스터미널행 버스 이용,전남 여수시 율촌면 율촌로 103,"율촌수생약국 정류장에서 94, 95, 96번 버스 등 이용하여 순천역 하차. 또는 율촌역(간이역) 이용",,,
52,,전남 여수시,율촌면 조화리 율촌파출소,소라면 덕양리 소라초등학교,전남 여수시 율촌면 율촌로 103,순천역 정류장에서 330번 버스 이용하여 율촌수생약국 정류장 하차,전남 여수시 소라면 덕양로 431,"소라초등학교 정류장에서 31, 32, 33, 34, 35, 36, 93번 버스 이용하여 여수공항 하차",,,
53,,전남 여수시,소라면 덕양리 소라초등학교,여수시 중흥동 흥국사 입구,전남 여수시 소라면 하세동길 52-1,덕양시외버스터미널 도보 10분,,,,,공식 코스 경계와 다름 (종점 7366m) — 지점명은 GPX 기준 유지
54,,전남 여수시,여수시 중흥동 흥국사 입구,종화동 여수해양공원,,,전남 여수시 이순신광장로 188-1,여수엑스포역 도보 이동 가능. 또는 여수연합항운(여수해양공원)에서 555번 버스 이용하여 여수연합항운 하차,,,공식 코스 경계와 다름 (시점 7367m) — 지점명은 GPX 기준 유지
55,,전남 여수시,종화동 여수해양공원,소호동 여수소호요트장,전남 여수시 이순신광장로 188-1,"여수EXPO역 정류장에서 2, 6, 7번 버스 이용 후 경찰서 정류장 하차",전남 여수시 소호로 392,"소호요트경기장에서 27, 88, 89번 버스 이용하여 여수시외버스터미널 또는 여수엑스포역 하차",,,
56,,전남 여수시,소호동 여수소호요트장,화양면 안포리 원포마을 정류장,전남 여수시 소호로 392,"여수엑스포역 또는 여수종합버스터미널에서 27, 88번 버스 이용하여 소호요트경기장 정류장 하차",전남 여수시 화양면 셋돔길 6,"원포 정류장 26-1, 28, 29번 버스 이용하여 여수종합버스터미널 하차",,,
57,,전남 여수시,화양면 안포리 원포마을 정류장,화양면 서촌리 서촌마을,전남 여수시 화양면 셋돔길 6,"여수종합버스터미널에서 28, 29, 26-1번 버스 이용하여 원포 정류장 하차. 배차간격 유의",전남 여수시 화양면 서촌리 584-7,"서촌 정류장에서 21, 26, 29번 버스 이용하여 여수종합버스터미널 하차",,,
58,,전남 여수시,화양면 서촌리 서촌마을,여수시 소라면 관기리 창무신성교회 버스정류장,전남 여수시 화양면 서촌리 584-7,"여수종합버스터미널에서 21, 26, 26-1, 27번 버스 이용하여 서촌 정류장 하차",,,,,공식 코스 경계와 다름 (종점 2785m) — 지점명은 GPX 기준 유지
59,,전남 여수시,여수시 소라면 관기리 창무신성교회 버스정류장,소라면 사곡리 궁항정류장,,,전남 여수시 소라면 궁항길 131,궁항 정류장에서 91번 버스 이용하여 여천역 또는 여수종합버스터미널 하차,,,공식 코스 경계와 다름 (시점 2782m) — 지점명은 GPX 기준 유지
60,,전남 여수시,소라면 사곡리 궁항정류장,순천시 해룡면 상내리 와온삼거리 정류장,전남 여수시 소라면 궁항길 131,"여수종합버스터미널 또는 여천역 정류장에서 90, 91번 버스 이용 후 궁항 정류장 하차. 배차간격 유의",,,,,공식 코스 경계와 다름 (종점 1389m) — 지점명은 GPX 기준 유지
61,,전남 순천시,순천시 해룡면 상내리 와온삼거리 정류장,별량면 학산리 별량화포,,,전남 순천시 별량면 학산해안길 67,"화포 정류장에서 81, 82번 버스 이용하여 순천역 또는 순천종합버스터미널 하차. 배차간격 유의",,,공식 코스 경계와 다름 (시점 1385m) — 지점명은 GPX 기준 유지
62,,전남 순천시,별량면 학산리 별량화포,벌교읍 부용교 동쪽사거리,전남 순천시 별량면 학산해안길 67,"순천역 정류장에서 81, 82번 버스 이용하여 화포 정류장 하차",전남 보성군 벌교읍 회정리 513-2,"벌교버스공용터미널, 벌교역 도보 10분 이내",,,
63,,전남 보성군,벌교읍 부용교 동쪽사거리,남양면 망주리 팔영농협 망주지소,전남 보성군 벌교읍 회정리 513-2,"벌교버스공용터미널, 벌교역에서 도보 10분 이내",전남 고흥군 남양면 망월로 82,망주 정류장 시내버스 벌교-부도 이용하여 벌교역 또는 벌교버스터미널 하차. 배차간격 유의,,,
64,,전남 고흥군,남양면 망주리 팔영농협 망주지소,과역면 연등리 독대마을회관,전남 고흥군 남양면 망월로 82,벌교버스터미널 또는 벌교역에서 벌교-부도 버스 이용하여 망주 하차. 배차간격 유의,전남 고흥군 과역면 과역로 1441,"독대 정류장에서 과욕-백일, 과역-외호, 벌교-고흥 버스 이용하여 고흥과역버스터미널 하차. 배차간격 유의",,,
65,,전남 고흥군,과역면 연등리 독대마을회관,영남면 우천리 간천버스정류장,전남 고흥군 과역면 과역로 1441,고흥공용터미널에서 고흥-벌교 버스 이용하여 과역버스터미널 정류장 하차 후 과역-백일 버스 환승 후 독대 정류장 하차. 배차간격 유의,전남 고흥군 영남면 우천리 790-2,"간천 정류장에서 과역-남열, 과역-용암, 과역-점암, 나명-과역 버스 이용하여 과역버스터미널 하차. 배차간격 유의",,,
66,,전남 고흥군,영남면 우천리 간천버스정류장,영남면 남열리 남열마을 입구,전남 고흥군 영남면 우천리 790-2,고흥공용터미널에서 고흥-영남 버스 이용하여 금사 정류장 하차. 과역-남열 버스 환승하여 간천 정류장 하차,전남 고흥군 영남면 해맞이로 563,"남열 정류장 고흥-영남, 과역-남열, 남열-고흥, 고흥-남열 등 버스 이용하여 고흥버스터미널 하차",,,
67,,전남 고흥군,영남면 남열리 남열마을 입구,포두면 오취리 해창만탬핑장 앞,전남 고흥군 영남면 해맞이로 563,고흥공용터미널에서 시내버스 고흥-남열 이용하여 남열 정류장 하차. 배차간격 유의,전남 고흥군 포두면 송산리 1638-1,"능정 정류장에서 고흥-남열, 고흥-양사, 고흥-영남 버스 등 이용하여 고흥공용버스터미널 하차",,,
68,,전남 고흥군,포두면 오취리 해창만캠핑장 앞,도화면 당오리 도화버스터미널,전남 고흥군 포두면 송산리 1638-1,고흥공용터미널에서 고흥-남열 버스 이용하여 능정 정류장 하차,전남 고흥군 도화면 중심길 9,도화공용시외버스터미널에서 버스 이용,,,
69,,전남 고흥군,도화면 당오리 도화버스터미널,풍양면 매곡리 백석버스정류장,전남 고흥군 도화면 중심길 9,도화시외버스터미널 이용,전남 고흥군 풍양면 백석길 19,동적 정류장에서 고흥-풍양 버스 이용하여 고흥공용버스터미널 하차. 배차간격 유의,,,
70,,전남 고흥군,풍양면 매곡리 백석버스정류장,도양읍 봉암리 녹동버스공용정류장,전남 고흥군 풍양면 백석길 19,고흥공용터미널에서 고흥-풍양 버스 이용하여 백석 정류장 하차,전남 고흥군 도양읍 천마로 57,녹동버스공용정류장 이용,,,
71,,전남 고흥군,도양읍 봉암리 녹동버스공용정류장,도덕면 용동리 고흥만방조제공원,전남 고흥군 도양읍 천마로 57,고흥공용터미널에서 고흥-녹동 버스 이용하여 녹독버스공용터미널 하차,전남 고흥군 도덕면 고흥만로 1140,"금호 정류장에서 고흥-녹동, 녹동-고흥 등 버스 이용하여 고흥공용버스터미널 하차",,,
